step,clean,noise,drop,both
0,100.0,100.0,100.0,100.0
2000,100.0,100.0,100.0,100.0
4000,100.0,100.0,100.0,100.0
6000,100.0,100.0,100.0,100.0
8000,100.0,100.0,100.0,100.0
10000,100.0,100.0,100.0,100.0
12000,100.0,100.0,100.0,100.0
14000,100.0,100.0,100.0,100.0
16000,100.0,100.0,100.0,100.0
18000,100.0,100.0,100.0,100.0
20000,100.0,100.0,100.0,100.0
22000,100.0,100.0,100.0,100.0
24000,100.0,100.0,100.0,100.0
26000,100.0,100.0,100.0,100.0
28000,100.0,100.0,100.0,100.0
30000,100.0,100.0,100.0,100.0
32000,100.0,100.0,100.0,100.0
34000,100.0,100.0,100.0,100.0
36000,100.0,100.0,100.0,100.0
38000,100.0,100.0,100.0,100.0
40000,100.0,100.0,100.0,100.0
42000,100.0,100.0,100.0,100.0
44000,100.0,100.0,100.0,100.0
46000,100.0,100.0,100.0,100.0
48000,100.0,100.0,100.0,100.0
50000,100.0,100.0,100.0,100.0
