step,clean,noise,drop,both
0,55.0,60.0,65.0,65.0
2000,35.0,40.0,60.0,40.0
4000,35.0,45.0,50.0,70.0
6000,60.0,35.0,25.0,45.0
8000,50.0,60.0,30.0,60.0
10000,45.0,40.0,40.0,65.0
12000,50.0,40.0,40.0,60.0
14000,45.0,45.0,35.0,50.0
16000,45.0,60.0,40.0,55.0
18000,50.0,40.0,30.0,35.0
20000,45.0,30.0,40.0,40.0
22000,40.0,50.0,35.0,55.0
24000,45.0,30.0,40.0,55.0
26000,50.0,70.0,45.0,60.0
28000,50.0,80.0,60.0,45.0
30000,70.0,55.0,45.0,45.0
32000,55.0,40.0,35.0,55.0
34000,35.0,60.0,35.0,25.0
36000,50.0,35.0,55.0,30.0
38000,50.0,15.0,30.0,25.0
40000,35.0,35.0,15.0,20.0
42000,65.0,40.0,40.0,30.0
44000,60.0,30.0,45.0,50.0
46000,45.0,60.0,45.0,50.0
48000,40.0,40.0,40.0,25.0
50000,55.0,55.0,15.0,35.0
52000,40.0,15.0,60.0,30.0
54000,50.0,35.0,45.0,35.0
56000,55.0,35.0,50.0,40.0
58000,40.0,45.0,30.0,50.0
60000,40.0,35.0,40.0,60.0
62000,35.0,45.0,45.0,35.0
64000,40.0,40.0,35.0,40.0
66000,55.0,55.0,55.0,25.0
68000,45.0,30.0,30.0,45.0
70000,45.0,50.0,25.0,50.0
72000,45.0,30.0,30.0,40.0
74000,50.0,35.0,30.0,40.0
76000,60.0,20.0,35.0,60.0
78000,60.0,40.0,40.0,35.0
80000,50.0,20.0,35.0,55.0
82000,60.0,40.0,40.0,50.0
84000,65.0,40.0,50.0,55.0
86000,50.0,50.0,55.0,60.0
88000,35.0,45.0,45.0,45.0
90000,40.0,30.0,50.0,35.0
92000,55.0,40.0,55.0,35.0
94000,35.0,40.0,35.0,40.0
96000,50.0,20.0,35.0,55.0
98000,45.0,35.0,40.0,35.0
100000,45.0,45.0,50.0,45.0
102000,50.0,60.0,45.0,45.0
104000,50.0,35.0,45.0,55.0
106000,35.0,50.0,45.0,30.0
108000,65.0,30.0,55.0,25.0
110000,50.0,55.0,40.0,50.0
112000,35.0,50.0,40.0,55.0
114000,25.0,50.0,45.0,45.0
116000,40.0,30.0,40.0,30.0
118000,65.0,40.0,50.0,45.0
120000,40.0,35.0,65.0,40.0
122000,45.0,40.0,25.0,35.0
124000,55.0,35.0,50.0,45.0
126000,40.0,25.0,50.0,30.0
128000,65.0,50.0,45.0,55.0
130000,45.0,40.0,40.0,60.0
132000,65.0,55.0,45.0,40.0
134000,55.0,30.0,60.0,50.0
136000,65.0,20.0,50.0,45.0
138000,55.0,50.0,55.0,70.0
140000,60.0,50.0,40.0,45.0
142000,70.0,60.0,40.0,60.0
144000,45.0,40.0,30.0,55.0
146000,55.0,35.0,30.0,40.0
148000,50.0,40.0,25.0,25.0
150000,50.0,45.0,35.0,35.0
152000,50.0,35.0,50.0,50.0
154000,70.0,50.0,55.0,40.0
156000,40.0,55.0,40.0,25.0
158000,35.0,30.0,40.0,50.0
160000,60.0,50.0,35.0,40.0
162000,50.0,25.0,40.0,35.0
164000,60.0,50.0,60.0,30.0
166000,30.0,55.0,45.0,35.0
168000,45.0,40.0,35.0,40.0
170000,40.0,30.0,55.0,35.0
172000,10.0,35.0,25.0,50.0
174000,55.0,35.0,45.0,20.0
176000,45.0,35.0,35.0,50.0
178000,70.0,30.0,35.0,30.0
180000,60.0,30.0,45.0,40.0
182000,40.0,55.0,70.0,40.0
184000,30.0,40.0,40.0,35.0
186000,45.0,45.0,25.0,50.0
188000,65.0,35.0,50.0,40.0
190000,30.0,45.0,45.0,25.0
192000,40.0,75.0,45.0,40.0
194000,55.0,40.0,20.0,40.0
196000,60.0,50.0,65.0,35.0
198000,40.0,50.0,50.0,30.0
200000,40.0,55.0,25.0,25.0
202000,65.0,60.0,35.0,50.0
204000,15.0,40.0,40.0,30.0
206000,35.0,40.0,45.0,35.0
208000,45.0,30.0,30.0,35.0
210000,35.0,50.0,45.0,35.0
212000,25.0,40.0,45.0,40.0
214000,55.0,20.0,50.0,45.0
216000,40.0,45.0,35.0,50.0
218000,30.0,15.0,35.0,60.0
220000,45.0,45.0,60.0,45.0
222000,55.0,15.0,50.0,40.0
224000,35.0,45.0,25.0,40.0
226000,20.0,65.0,35.0,40.0
228000,45.0,40.0,40.0,30.0
230000,45.0,25.0,30.0,40.0
232000,25.0,35.0,25.0,25.0
234000,30.0,60.0,40.0,35.0
236000,50.0,50.0,60.0,50.0
238000,25.0,40.0,35.0,45.0
240000,50.0,50.0,45.0,30.0
242000,70.0,35.0,45.0,40.0
244000,30.0,30.0,30.0,35.0
246000,35.0,40.0,35.0,35.0
248000,50.0,80.0,25.0,35.0
250000,50.0,50.0,40.0,50.0
252000,30.0,55.0,50.0,40.0
254000,55.0,30.0,40.0,50.0
256000,45.0,45.0,50.0,40.0
258000,60.0,45.0,30.0,55.0
260000,40.0,30.0,60.0,45.0
262000,40.0,25.0,40.0,55.0
264000,35.0,50.0,45.0,55.0
266000,55.0,25.0,60.0,40.0
268000,40.0,30.0,45.0,55.0
270000,65.0,30.0,55.0,60.0
272000,55.0,40.0,50.0,40.0
274000,65.0,20.0,25.0,45.0
276000,40.0,50.0,35.0,25.0
278000,35.0,35.0,40.0,55.0
280000,50.0,45.0,40.0,60.0
282000,60.0,25.0,45.0,55.0
284000,25.0,45.0,50.0,55.0
286000,50.0,50.0,35.0,30.0
288000,35.0,15.0,30.0,40.0
290000,50.0,35.0,15.0,25.0
292000,30.0,35.0,50.0,35.0
294000,60.0,45.0,40.0,50.0
296000,45.0,10.0,35.0,35.0
298000,40.0,35.0,50.0,55.0
300000,15.0,45.0,45.0,45.0
302000,40.0,45.0,40.0,35.0
304000,70.0,45.0,40.0,40.0
306000,65.0,40.0,25.0,55.0
308000,65.0,55.0,35.0,35.0
310000,35.0,30.0,35.0,30.0
312000,50.0,35.0,45.0,45.0
