step,clean,noise,drop,both
0,45.0,45.0,55.0,60.0
2000,50.0,40.0,50.0,50.0
4000,55.0,60.0,40.0,50.0
6000,35.0,50.0,45.0,50.0
8000,45.0,40.0,50.0,55.0
10000,50.0,45.0,55.0,55.0
12000,55.0,55.0,45.0,45.0
14000,45.0,55.0,60.0,45.0
16000,60.0,55.0,55.0,40.0
18000,55.0,70.0,60.0,55.0
20000,55.0,40.0,65.0,55.0
22000,55.0,50.0,60.0,65.0
24000,40.0,70.0,55.0,40.0
26000,45.0,50.0,55.0,50.0
28000,55.0,45.0,55.0,30.0
30000,50.0,60.0,35.0,40.0
32000,55.0,50.0,45.0,60.0
34000,40.0,40.0,50.0,35.0
36000,45.0,45.0,45.0,45.0
38000,50.0,45.0,40.0,45.0
40000,55.0,75.0,50.0,65.0
42000,45.0,65.0,65.0,45.0
44000,45.0,45.0,50.0,55.0
46000,65.0,55.0,75.0,40.0
48000,65.0,50.0,65.0,60.0
50000,45.0,40.0,70.0,60.0
52000,55.0,45.0,60.0,35.0
54000,45.0,45.0,55.0,45.0
56000,60.0,40.0,45.0,45.0
58000,45.0,50.0,60.0,45.0
60000,45.0,45.0,30.0,40.0
62000,45.0,45.0,45.0,65.0
64000,50.0,50.0,50.0,45.0
66000,50.0,45.0,60.0,35.0
68000,50.0,50.0,70.0,50.0
70000,50.0,50.0,60.0,70.0
72000,40.0,70.0,50.0,60.0
74000,55.0,65.0,50.0,35.0
76000,45.0,50.0,65.0,40.0
78000,65.0,45.0,55.0,55.0
80000,55.0,40.0,55.0,40.0
82000,45.0,45.0,45.0,50.0
84000,55.0,45.0,35.0,60.0
86000,55.0,45.0,45.0,55.0
88000,65.0,40.0,35.0,45.0
90000,60.0,50.0,50.0,40.0
92000,65.0,65.0,45.0,65.0
94000,55.0,55.0,45.0,60.0
96000,60.0,45.0,55.0,50.0
98000,55.0,40.0,60.0,35.0
100000,60.0,40.0,55.0,50.0
102000,40.0,60.0,35.0,50.0
104000,50.0,40.0,50.0,65.0
106000,60.0,35.0,55.0,60.0
108000,60.0,55.0,45.0,55.0
110000,45.0,50.0,60.0,35.0
112000,50.0,45.0,70.0,65.0
114000,55.0,35.0,55.0,35.0
116000,50.0,45.0,50.0,45.0
118000,55.0,45.0,50.0,45.0
120000,65.0,45.0,55.0,50.0
122000,55.0,50.0,35.0,50.0
124000,45.0,50.0,45.0,30.0
126000,45.0,45.0,60.0,55.0
128000,45.0,45.0,55.0,65.0
130000,70.0,50.0,55.0,50.0
132000,60.0,50.0,60.0,50.0
134000,40.0,40.0,65.0,60.0
136000,50.0,55.0,65.0,60.0
138000,65.0,55.0,55.0,50.0
140000,55.0,50.0,50.0,55.0
142000,65.0,40.0,60.0,40.0
144000,55.0,40.0,50.0,55.0
146000,45.0,65.0,45.0,60.0
148000,45.0,55.0,40.0,40.0
150000,55.0,55.0,40.0,55.0
152000,50.0,50.0,40.0,60.0
154000,50.0,65.0,50.0,45.0
156000,60.0,50.0,50.0,35.0
158000,50.0,60.0,60.0,65.0
160000,35.0,35.0,35.0,35.0
162000,45.0,45.0,45.0,55.0
164000,50.0,70.0,50.0,50.0
166000,50.0,45.0,75.0,45.0
168000,50.0,65.0,50.0,45.0
170000,60.0,50.0,35.0,50.0
172000,50.0,50.0,40.0,45.0
174000,60.0,70.0,50.0,50.0
176000,50.0,60.0,35.0,50.0
178000,45.0,40.0,50.0,60.0
180000,50.0,50.0,55.0,50.0
182000,45.0,45.0,35.0,70.0
184000,40.0,35.0,55.0,45.0
186000,65.0,55.0,50.0,60.0
188000,60.0,55.0,45.0,60.0
190000,40.0,45.0,45.0,45.0
192000,35.0,60.0,45.0,60.0
194000,55.0,65.0,45.0,45.0
196000,45.0,55.0,40.0,50.0
198000,55.0,40.0,40.0,45.0
200000,45.0,50.0,65.0,50.0
202000,40.0,55.0,45.0,40.0
204000,40.0,55.0,35.0,55.0
206000,65.0,55.0,35.0,60.0
208000,55.0,45.0,60.0,60.0
210000,55.0,55.0,60.0,50.0
212000,40.0,50.0,60.0,45.0
214000,50.0,60.0,45.0,40.0
216000,50.0,50.0,55.0,50.0
218000,60.0,60.0,65.0,35.0
220000,50.0,55.0,65.0,40.0
222000,25.0,55.0,55.0,60.0
224000,60.0,55.0,60.0,50.0
226000,60.0,45.0,60.0,40.0
228000,55.0,35.0,45.0,40.0
230000,55.0,55.0,40.0,45.0
232000,55.0,55.0,40.0,65.0
234000,45.0,50.0,50.0,60.0
236000,45.0,55.0,25.0,60.0
238000,30.0,55.0,50.0,45.0
240000,,50.0,55.0,55.0
242000,,40.0,60.0,
244000,,45.0,60.0,
246000,,,65.0,
